
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7971e20 m^-3
[94] loss = 1.25776  (469.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7912e20 m^-3
[95] loss = 1.25768  (472.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7852e20 m^-3
[96] loss = 1.25759  (475.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7792e20 m^-3
[97] loss = 1.25749  (478.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7732e20 m^-3
[98] loss = 1.2574  (481.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7673e20 m^-3
[99] loss = 1.25731  (483.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7614e20 m^-3
[100] loss = 1.25722  (484.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7555e20 m^-3
checkpoint saved at iteration 100 -> checkpoints\checkpoint_100au_iter100.jls
[101] loss = 1.25712  (506.6s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.21068887758849e-5   physical≈6.843917227920733 W/m^3
PDE[2] gas eq : scaled=6.886663770257575e-8   physical≈3.0877348879329333e19 m^-3/s
BC[1] surface : scaled=1.2261252500833844   physical≈0.1446548341503454 W/m^2
BC[2] ice heat : scaled=0.015488174645968071   physical≈181.15113268107945 W/m^2
BC[3] ice gas : scaled=0.015488351323617902   physical≈1.4643273047142744e22 m^-2/s
Total PDE = 2.2175755413587478e-5
Total BC  = 1.2571017760529704
Grand Total = 1.2571239518083839
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7496e20 m^-3
[102] loss = 1.25703  (508.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7435e20 m^-3
[103] loss = 1.25693  (510.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7375e20 m^-3
[104] loss = 1.25684  (512.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7315e20 m^-3
[105] loss = 1.25674  (515.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7255e20 m^-3
[106] loss = 1.25664  (516.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.248 K, n=9.7196e20 m^-3
[107] loss = 1.25655  (519.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.7138e20 m^-3
[108] loss = 1.25645  (522.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.708e20 m^-3
[109] loss = 1.25635  (525.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.7021e20 m^-3
[110] loss = 1.25625  (528.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6963e20 m^-3
[111] loss = 1.25615  (531.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6905e20 m^-3
[112] loss = 1.25605  (534.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6847e20 m^-3
[113] loss = 1.25594  (537.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.679e20 m^-3
[114] loss = 1.25584  (541.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6732e20 m^-3
[115] loss = 1.25574  (544.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6676e20 m^-3
[116] loss = 1.25563  (545.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6619e20 m^-3
[117] loss = 1.25552  (548.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6562e20 m^-3
[118] loss = 1.25542  (551.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6505e20 m^-3
[119] loss = 1.25531  (554.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6447e20 m^-3
[120] loss = 1.2552  (558.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.249 K, n=9.6388e20 m^-3
[121] loss = 1.25509  (559.5s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2117389763611003e-5   physical≈6.845542498646897 W/m^3
PDE[2] gas eq : scaled=7.350581672375218e-8   physical≈3.190042129658844e19 m^-3/s
BC[1] surface : scaled=1.2241277507392572   physical≈0.14453695642347789 W/m^2
BC[2] ice heat : scaled=0.015471360833913607   physical≈181.0527780249991 W/m^2
BC[3] ice gas : scaled=0.015471514999030583   physical≈1.4635312034113925e22 m^-2/s
Total PDE = 2.2190895580334755e-5
Total BC  = 1.2550706265722014
Grand Total = 1.2550928174677818
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.633e20 m^-3
[122] loss = 1.25498  (563.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.6273e20 m^-3
[123] loss = 1.25487  (566.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.6215e20 m^-3
[124] loss = 1.25476  (570.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.6158e20 m^-3
[125] loss = 1.25465  (572.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.6101e20 m^-3
[126] loss = 1.25453  (573.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.6044e20 m^-3
[127] loss = 1.25442  (576.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.5988e20 m^-3
[128] loss = 1.2543  (579.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.5932e20 m^-3
[129] loss = 1.25419  (582.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.5875e20 m^-3
[130] loss = 1.25407  (585.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.5819e20 m^-3
[131] loss = 1.25395  (588.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.5764e20 m^-3
[132] loss = 1.25383  (590.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.25 K, n=9.5708e20 m^-3
[133] loss = 1.25371  (592.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5653e20 m^-3
[134] loss = 1.25359  (595.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5598e20 m^-3
[135] loss = 1.25347  (598.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5544e20 m^-3
[136] loss = 1.25334  (602.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.549e20 m^-3
[137] loss = 1.25322  (605.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5437e20 m^-3
[138] loss = 1.25309  (606.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5384e20 m^-3
[139] loss = 1.25297  (609.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.533e20 m^-3
[140] loss = 1.25284  (611.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5277e20 m^-3
[141] loss = 1.25271  (613.4s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2146585165845264e-5   physical≈6.850059135965251 W/m^3
PDE[2] gas eq : scaled=7.745011604648827e-8   physical≈3.2745121134829126e19 m^-3/s
BC[1] surface : scaled=1.2217808983044796   physical≈0.14439833950107808 W/m^2
BC[2] ice heat : scaled=0.015453086703863745   physical≈180.94582041427432 W/m^2
BC[3] ice gas : scaled=0.015453214104971849   physical≈1.4626653588345613e22 m^-2/s
Total PDE = 2.2224035281891753e-5
Total BC  = 1.2526871991133153
Grand Total = 1.2527094231485971
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.251 K, n=9.5223e20 m^-3
[142] loss = 1.25258  (616.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.517e20 m^-3
[143] loss = 1.25245  (618.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.5117e20 m^-3
[144] loss = 1.25231  (620.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.5065e20 m^-3
[145] loss = 1.25218  (622.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.5013e20 m^-3
[146] loss = 1.25205  (624.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.4961e20 m^-3
[147] loss = 1.25191  (626.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.4908e20 m^-3
[148] loss = 1.25177  (628.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.4855e20 m^-3
[149] loss = 1.25163  (631.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.4801e20 m^-3
[150] loss = 1.25149  (633.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.252 K, n=9.4748e20 m^-3
[151] loss = 1.25135  (634.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4696e20 m^-3
[152] loss = 1.25121  (637.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4644e20 m^-3
[153] loss = 1.25106  (640.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4591e20 m^-3
[154] loss = 1.25092  (643.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4537e20 m^-3
[155] loss = 1.25077  (644.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4483e20 m^-3
[156] loss = 1.25062  (647.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4429e20 m^-3
[157] loss = 1.25047  (650.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.253 K, n=9.4377e20 m^-3
[158] loss = 1.25032  (652.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.254 K, n=9.4323e20 m^-3
[159] loss = 1.25016  (654.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.254 K, n=9.427e20 m^-3
[160] loss = 1.25001  (656.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.254 K, n=9.4217e20 m^-3
[161] loss = 1.24985  (658.5s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2180310258646537e-5   physical≈6.855272829083799 W/m^3
PDE[2] gas eq : scaled=8.175736983683443e-8   physical≈3.3643333505894236e19 m^-3/s
BC[1] surface : scaled=1.2189625829212938   physical≈0.14423169954966342 W/m^2
BC[2] ice heat : scaled=0.015433641042941799   physical≈180.83193641297848 W/m^2
BC[3] ice gas : scaled=0.015433736514273204   physical≈1.461743279461021e22 m^-2/s
Total PDE = 2.226206762848337e-5
Total BC  = 1.2498299604785088
Grand Total = 1.2498522225461373
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.254 K, n=9.4165e20 m^-3
[162] loss = 1.24969  (661.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.254 K, n=9.4112e20 m^-3
[163] loss = 1.24954  (663.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.254 K, n=9.4059e20 m^-3
[164] loss = 1.24937  (665.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.255 K, n=9.4007e20 m^-3
[165] loss = 1.24921  (667.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.255 K, n=9.3953e20 m^-3
[166] loss = 1.24905  (669.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.255 K, n=9.39e20 m^-3
[167] loss = 1.24888  (670.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.255 K, n=9.3846e20 m^-3
[168] loss = 1.24872  (672.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.255 K, n=9.3792e20 m^-3
[169] loss = 1.24855  (674.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.255 K, n=9.374e20 m^-3
[170] loss = 1.24838  (676.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.256 K, n=9.3687e20 m^-3
[171] loss = 1.24821  (679.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.256 K, n=9.3635e20 m^-3
[172] loss = 1.24803  (682.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.256 K, n=9.3582e20 m^-3
[173] loss = 1.24786  (683.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.256 K, n=9.353e20 m^-3
[174] loss = 1.24768  (685.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.256 K, n=9.3478e20 m^-3
[175] loss = 1.24751  (687.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.257 K, n=9.3427e20 m^-3
[176] loss = 1.24733  (690.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.257 K, n=9.3376e20 m^-3
[177] loss = 1.24715  (692.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.257 K, n=9.3326e20 m^-3
[178] loss = 1.24697  (694.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.257 K, n=9.3276e20 m^-3
[179] loss = 1.24679  (698.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.257 K, n=9.3225e20 m^-3
[180] loss = 1.2466  (701.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.258 K, n=9.3176e20 m^-3
[181] loss = 1.24642  (704.4s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.220041364819414e-5   physical≈6.858378804728037 W/m^3
PDE[2] gas eq : scaled=9.222496363846025e-8   physical≈3.5732204536518164e19 m^-3/s
BC[1] surface : scaled=1.2155695516584761   physical≈0.14403082230314504 W/m^2
BC[2] ice heat : scaled=0.015413311932529046   physical≈180.7128017336986 W/m^2
BC[3] ice gas : scaled=0.015413369732191522   physical≈1.460778482797888e22 m^-2/s
Total PDE = 2.22926386118326e-5
Total BC  = 1.2463962333231966
Grand Total = 1.2464185259618084
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.258 K, n=9.3126e20 m^-3
[182] loss = 1.24623  (706.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.258 K, n=9.3077e20 m^-3
[183] loss = 1.24605  (709.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.258 K, n=9.3027e20 m^-3
[184] loss = 1.24586  (713.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.259 K, n=9.2978e20 m^-3
[185] loss = 1.24567  (716.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
